Gesture,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,Point45,Point46,Point47,Point48,Point49,Point50,Point51,Point52,Point53,Point54,Point55,Point56,Point57,Point58,Point59,Point60,Point61,Point62,Point63,Point64
b,40.448377284232,38.8175775075535,37.5347297483839,36.3410737396357,35.2519977083469,34.5692848788456,34.1600648986704,33.5000097621909,33.1891097577702,32.4930418878999,31.3824681153917,30.1925358005141,29.8380516199298,27.8554100693379,26.54591688688,26.0732753535794,25.3905579476579,25.0144186433827,24.3916849048865,23.7447436517052,23.1463403701437,22.5096454228249,21.8114409412789,21.2287045680122,20.8124187773496,20.5063856521358,20.3235652180376,20.257088753389,20.4950623343021,20.7718449039951,20.8134065183902,20.7327040962021,20.511276254014,20.0886668865488,20.5663075790917,21.4857033181988,22.3967345763006,22.800254089607,22.9908382954496,23.1095373688858,23.1507765819194,23.1788655937805,23.4066413240777,23.9489237796923,24.4851780815977,25.5480332825126,26.8351288680736,28.0508010093491,29.4475303121467,31.0600701642909,31.8396862725926,32.6252542375286,32.6966861319572,32.9433034614081,33.5421401662171,34.087362034028,34.3238947985184,34.5918685881371,35.0572419258139,35.569095859774,36.0738599595004,36.717667286843,37.1378624955728,38.0423111006978
ch,32.16240459658,30.7124283488392,29.5175085635737,28.418895662006,27.3456706940282,26.3144114004949,25.188479579071,24.1312252196924,23.2747359356661,22.5269550155043,21.8418618232563,21.0715977865653,20.2074112628417,19.4174621364827,18.6818816977166,17.9794278191207,17.3927887269512,16.9083154070523,16.490760943447,16.1569379675589,15.8780604419081,15.6565581695671,15.4909873109853,15.3559182660558,15.2322975822895,15.3358451853692,15.2961958971613,15.1732642411226,15.2264483782544,15.2759160567354,15.4087487677267,15.4724311284513,15.7929879424029,16.6436887225709,16.4861200363352,15.9365661121938,15.6113224099722,15.6267374107697,15.5765555364889,15.4442870731339,15.2847548682802,15.1303121131672,15.0745666655987,15.0570880617177,15.2034892711273,15.544101240799,16.0882895488069,16.7730764077032,17.6227427059771,18.6182824800204,19.7143903192297,20.9857058319129,22.5241799311238,24.0028568576856,25.5711921316795,26.6674163483063,27.652690200933,29.1892842945706,30.5672723085044,31.658091336804,32.9036310417309,34.2632350526742,35.5788212573002,36.6906594641998
d,41.9379065219733,40.2586820249861,38.8396275066902,37.4828729868266,36.807799993109,36.2173108338916,35.9124404986116,35.6752765442053,30.1511725063932,26.6523548935527,25.3030152014015,25.2525974944208,25.3290213635883,26.0746872961544,26.5368328010598,26.7484200630768,26.5228613600811,26.2738815614332,26.2794212865619,26.5285870887665,27.0222863332968,27.7119139420657,28.7295776971069,29.9187496603964,31.3587082501403,30.24598057189,29.6824803116875,29.5275140222924,29.5508048775114,30.2812071234647,31.3557185119619,32.4477408652024,33.6036659491553,34.7065703101224,35.7178672051983,35.4309524402351,34.8463376620819,33.6588213954345,32.7279088338055,32.5377347263722,32.3010640498146,32.9499184195648,34.3746320044738,36.9277940904336,41.7434372235434,44.9473260603397,49.2444291678192,57.8601258249084,66.9588340425486,51.7079362072011,37.2923347498505,32.6693944685621,30.6219474208875,29.3993626519133,27.8271640703332,26.7250505814957,27.1818047912558,28.3597476991435,30.1556963282682,32.0008179085257,33.9390820842148,36.1328427097088,38.2061319255189,40.1899151294657
e,40.4151646951889,37.7749604697648,35.3078561081797,32.7954740823922,30.3266540995162,27.9398554273674,25.7252153398312,23.9712041241402,22.5476797552516,21.8877516801586,22.1994124267443,22.7186043633117,23.7613821858813,25.3382324560909,27.0222611409365,29.897468421035,32.6984080216429,37.0781529121525,41.5008785955578,46.8833414566721,53.5531124307867,61.334099185721,57.3392120670285,51.9386504960445,49.3319482646869,47.1707512149613,41.5784493440416,39.7367309944156,38.0060614350345,36.7787133736697,35.9138294573308,34.7129972856059,33.3861103165169,33.8697171227378,34.6253383972904,35.0558819852738,35.361451291544,35.1634149433472,35.237088657458,35.5124184767908,35.8384759530035,36.2620900420761,36.6331325795168,37.076479389294,37.7669179432994,38.6014212009343,39.4074412623086,40.0227084417194,40.7547105644152,41.9936759885838,43.4203336655844,44.7051675018501,45.4050874798167,45.9584282895784,46.4240380299547,46.8385587706105,47.2447303905198,47.5606186610777,47.9230926125302,48.3645417180772,49.0668098766842,49.879361684041,50.8467704427039,52.154181044433
en,39.9802019128238,38.1916894717178,36.6749210753509,35.371817215434,34.2210857930323,33.1469799165475,32.3273087863412,31.6687498848627,31.1631563193081,30.726328916181,30.4647604063465,30.3353432201939,30.2582043623426,30.0747036113144,29.596952301327,28.5121909078807,27.0926907590404,25.9434253635922,22.3703611050865,20.354448187064,19.4083778881597,19.0827797935632,18.9842218729664,18.9217354597332,18.8479588245444,18.9178622196535,18.9484800134082,18.9571130634099,19.0421321938776,19.3120201785996,20.1561458081394,20.8278680025168,21.21541393857,22.134352758832,23.2575395987308,24.0535782713869,25.5680281576698,26.8032309782585,25.0097772196557,23.2786978095536,22.4039972186173,22.1500096675701,22.8484387045101,23.963067573313,25.0092794584994,25.7496217653584,26.4529717278443,27.34509673192,28.2685386448642,29.0806858061923,30.1076782511827,31.0024418314896,32.1651897214561,33.2509378145645,33.9315478435257,34.6878323886475,35.3136542785159,35.6509670975093,36.1322336734582,36.1184355594082,36.3873690510993,36.706709561872,37.3121894040589,37.7274599332765
eng,35.5101089632547,33.4875490319108,31.9767694180387,30.6965967943126,29.6534048639102,28.6414225932374,27.5732798541011,26.5574311518938,25.5450908204896,24.579155946734,23.6237874153194,22.7565091735147,21.9611042001163,21.292081706201,20.7705383408034,20.3007220183838,19.8850932129223,19.5013187973626,19.2008810534367,19.1422797713921,19.2746805820466,19.3666270368639,19.4108345637644,19.4170753182597,19.4523367996671,19.6108859420252,19.9179227989039,20.267212495747,20.5558720560983,20.3239390979681,19.7546126333286,19.7516352653054,20.0098501490199,20.7745785072412,21.6932712427782,21.2827184254291,21.2019465924497,21.2354040557142,21.2292948836292,20.7579948558121,20.3618627200303,19.941843722926,19.6851539463445,19.5677361844786,19.5782354079963,19.6600770427668,19.8084741534765,20.0338552875534,20.3891576314238,20.8369021744049,21.3882263768073,22.0314648238668,22.7366679617092,23.5222819500425,24.3433750056722,25.2127643950548,26.1334500956644,27.1141827398689,28.1113680583075,29.1386824559162,30.1997796530084,31.2799700529906,32.3697182507893,33.3075508420406
f,47.2130852767696,44.8456842081572,42.6287853792876,40.4533867392004,38.3813286299085,36.4261046837469,34.5388951307805,32.7285683918497,31.0204544000096,29.4737961162792,28.1339066508854,27.2703163695902,27.4080160343607,28.3161037781906,29.5510296492152,30.9890369450355,32.6199828676311,34.4108257944351,36.8398916597001,40.9308484089834,48.7099639105753,58.724187585949,70.3860526323252,92.7693080109004,82.3628955609859,81.9832233490866,77.6101629656193,66.9138047055266,61.0136511977229,45.8304832938556,36.4143580167878,35.0317694086346,34.4247376277741,34.0776592351835,31.0758345046169,30.7578408608385,28.800338034009,27.0714322954268,26.2117932009333,26.7606053428219,27.9719300163019,26.8805823885352,26.5003820269351,26.3345782641782,26.5655484873094,26.6405882358674,26.8460235411961,27.2449725110815,27.8076014687706,28.4517188299867,29.0141467633203,29.5954953439945,30.2085024364825,30.8820677072401,31.6961351107056,32.5356290300212,33.4108441639102,34.4066991328198,35.5062796101023,36.7409754232314,37.9851819133018,39.2525753769754,40.6503681235384,42.1444146262223
g,36.4309414038301,34.2381339732111,32.7157105499205,31.4263665516891,30.3265262100435,29.2511142027596,28.3604525913441,27.6531348090578,27.0783440388154,26.5768678837414,26.1925458829736,26.0516512220857,26.1190114624459,26.3389822875901,26.485382181881,26.5448595401237,26.1137453355256,25.3892763845412,25.3641966369084,25.5771010785941,25.7130081787442,25.9187988290202,26.0653430840678,26.151308291359,25.8621433292554,26.4438083908659,27.1780948754029,28.2469360337988,29.7271590567727,31.3088825810431,36.0107737687252,44.0492414868774,54.5536261610564,68.5132738498408,102.421074651116,81.3304443409278,61.2342033070397,45.7918665580827,36.6437002418166,32.7985340459153,29.9560723133401,28.3443957086929,26.962113684991,25.6996763675083,24.8090524273835,24.2386017431894,24.6755753139213,24.5305015253096,22.0793076573061,20.5976500579077,20.1526145020043,20.0383533797052,20.5210337732187,21.2918010328866,22.4194944501575,23.8970703521546,25.6871445274738,27.7069321356183,29.9088924219054,32.1927428366173,34.6098854149065,37.0802994901474,39.609583523583,41.633233740408
k,50.4654452310857,47.9840578692136,46.131626487236,44.2509787330666,42.4698957974071,40.6166558947041,39.207132778898,38.124387565143,36.9533257328344,36.3861887560043,36.3445205931142,36.6652866342533,37.2165828027047,38.0615811525741,38.4681548896517,37.6039070117112,37.5377822626825,38.6696559758387,41.1581965959775,45.0807464894445,51.8526444365777,59.7303558329533,70.1899367804226,52.8362937122582,51.786692091221,45.1832339730011,41.0030324061949,34.7836962585544,32.0842078526086,30.0766492352719,30.5823621560823,32.8793256115684,36.6088726841082,35.9055429096842,35.4211148544711,34.5004571456719,33.5637945418943,32.9085966105561,32.1232486443652,31.3839842903607,30.7211715811514,30.1096534237028,30.0196944135552,31.0060351968857,33.5511943085942,37.1425174373918,43.0254379297267,45.3201998441749,46.4886140265498,46.7923297917449,46.6970213595253,47.5867586189666,48.0533520109742,49.0175246623531,49.8420168932495,50.8535831369407,51.6233013427792,53.2637660988998,55.3189376582705,57.1245289513388,58.030328489716,57.7573445082434,57.9888546923821,57.3779485968144
l,41.5596213249696,38.3424591633565,36.6414932646976,35.8363608300627,35.1083823470084,34.8219937728957,34.8659454474889,35.4324270231111,37.3185397305996,35.5800708213018,30.436048350036,27.459133853147,26.0832848160914,25.204356385581,24.7338111010855,24.223071994682,23.8166572620589,23.727031164814,24.0779381750102,24.8166026818125,25.9079267699559,27.1730556226344,28.2751595614957,29.1390336269876,30.4956559095505,32.6122603235276,35.1518344587341,36.1496537922527,35.2528243359206,33.9710382564178,33.4462665595766,33.1693633542718,33.2164234027983,33.1224334092142,33.1361471736596,33.4297115512925,36.4497939022751,40.3285456766137,46.5491416841888,53.3957885893389,63.3598309242619,70.5149234231694,76.028152388311,103.758438602831,83.4719629631668,66.5231661068437,49.2272980338091,41.6545182660978,34.6757537100753,29.6523595639048,27.2741095297045,24.792746183262,24.4551935563678,25.2472442376091,26.2878837269298,27.924677600251,29.8394811464296,31.9752502144215,34.085473611062,36.7462779955681,39.4290585202127,43.4632681780663,46.4518574175034,49.0475898630573
