Gesture,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,Point45,Point46,Point47,Point48,Point49,Point50,Point51,Point52,Point53,Point54,Point55,Point56,Point57,Point58,Point59,Point60,Point61,Point62,Point63,Point64
b,35.1597145936181,33.3012067445041,32.3201318892287,31.4966476863311,30.9101644399187,30.2662586077411,29.6066770657413,28.9357316338008,28.6721263789421,28.3666311899535,27.6467672507251,27.1037718330053,27.6402113135036,23.6575222504047,22.4013625670337,23.1277718569473,23.9216746966353,24.4242744895872,24.2797385884794,23.777903708629,23.2936256077275,22.8532542280285,22.3552033228523,22.0524567568319,21.8464661970008,21.730844414455,21.723993638305,21.7076860636854,21.8816696390857,21.9370421308121,21.6721069129997,21.3749789100808,21.1964743822413,21.1061477086702,21.6528129616992,23.5900256021909,25.973901015879,23.5427185682304,22.7904555498405,21.9578823713583,21.1521326365359,20.4508321292427,19.796259804054,19.3821774589769,19.5246073165298,19.7691856138658,20.331361729988,21.2758984774156,22.3364953126576,23.5941041780829,24.9580096128807,26.4055206823617,27.6400580237486,28.4297715506349,29.1786343839808,29.3791648667354,29.100582473876,29.0524032309635,28.4158004909324,27.5843483232639,26.8151704065194,26.3552275160022,25.4368993940957,24.7327715571211
ch,29.0189580763615,27.635781914133,26.5423574777153,25.5643037921469,24.5942194335623,23.7009665711377,22.838486438084,22.0795687362724,21.3007726977206,20.5479108711596,19.8283104360083,19.1116509175285,18.4562406593225,17.8445214301155,17.3353832046073,16.7949432634875,16.2406408740814,15.7603233546527,15.3864433475252,15.0718661440266,14.7515505010425,14.510606374345,14.3040394102912,14.2072567469743,14.211866385276,14.1440479722259,13.7691362362486,13.3696795491494,12.9482456693135,12.6392725703129,12.4071549802267,11.4824241267163,10.8376892523175,11.3345240692055,11.8413746156397,12.5271936121316,13.2375897404496,13.5417881170335,13.5370262711699,13.5258882997128,13.7202581879571,13.9675827097293,14.1722557851834,14.4219450109655,14.7575169486276,15.1747779595512,15.602300406095,16.068604925368,16.5283393891896,17.0276701767573,17.6076708136913,18.3225773201398,19.2696012522391,20.2579872865718,21.2087527942444,22.1670359449226,23.1125536838559,24.1805829731538,25.063921872315,26.19257486843,27.3285227998351,28.1895631921574,29.2655663958948,29.8953874511127
d,32.5304499838291,30.3320779918366,29.362667437725,28.4767925494409,27.6042271352603,26.7468270300197,25.6234707243327,25.0413283744901,23.135950756823,22.3736059695796,23.2607803474198,25.0987354460015,26.1180680955081,26.5242718305258,26.4949520188984,26.2817103029802,26.031310084982,25.7848466740073,25.7179568013687,25.7409726105315,25.8882061074809,26.2335327796148,26.6294027409129,27.0173274022714,26.9792311468932,26.9692887509825,27.2879371241306,27.6075258457459,27.7832453297375,27.4942105409539,26.825351953241,25.8288706532387,25.2672728018281,24.9694416893633,24.7319358145264,24.536579200111,24.8066769803583,25.3256863088495,26.2584165224238,29.0240676573322,30.2961846151141,32.4096526776457,35.1591165766097,39.6638663403986,42.4803584294946,43.1211623064891,74.2618594972461,56.9899842398279,45.0169709824148,32.5280181457637,26.0611234685131,22.902818878223,21.6300819706725,21.9599021294424,22.3087688850089,22.8060547463251,23.6319318802875,24.7478425137246,25.9623906337843,27.1379954460168,28.5046571046676,29.8029112760729,30.9563233857017,31.8994376107534
e,34.5891275296446,33.2355101952436,31.1487391213563,29.5955520770751,27.9903799734727,26.3202021359505,24.7151728940999,23.3546100699756,22.3508882593842,21.6530944602506,21.2522915036838,21.0772459741805,21.2236220639995,21.6223954629296,22.453743353436,25.079941371784,27.8349890102376,32.8077311744649,37.6216808203403,44.7169307133915,42.2365817457531,36.4012173375448,33.7294929934329,26.4764439648412,23.9956814923702,23.0834330796476,22.6042408632053,21.5787102117368,21.1057066094205,21.0056404598866,20.1407797133731,19.7440658808918,21.4265957136875,23.5275862473319,24.8789977320237,25.4798227488611,25.7424785345386,26.1471964828936,26.7389872028123,27.1764564804385,26.8064637002482,26.544560659852,25.7020836718386,24.5143257982866,23.3359804229208,22.9966986580588,23.3908629976092,24.4519672457152,26.0620012880724,28.3875050505423,30.6464808731593,32.305280599027,33.7348714389201,34.5188404847245,35.079563642813,35.8113370722616,36.4106342343536,36.8380719430435,37.3722420149828,37.8026711274405,38.1408868199478,38.5525016884247,39.1269863603325,39.9875592013107
en,37.5686976716083,35.75705975933,34.7850786296163,33.6709237923523,32.8790199620934,32.0682103025025,31.447850908384,31.0041340241757,30.6877895903691,30.3824695947556,30.0710823626432,29.6521089895756,29.303802942702,28.8645978701879,27.8767329686995,26.2534904815902,23.6470388800696,22.0062101568885,21.3347874135169,21.6924437493951,21.9331099233272,21.5027859372498,21.1984861960819,20.9636287719281,20.6036970249908,20.214016047106,19.7507227854446,19.2454446948577,18.8200703024684,18.4606409180297,18.1035806654342,17.7863699617254,17.5789997759031,17.5392910927682,17.5872188969087,17.7388314525338,18.0176702316005,18.665640759948,19.6984584951582,20.6780512656978,21.5386014372764,22.1009613154521,20.565875532561,21.0165237592446,22.0320467457051,23.4377308052117,24.5726181427915,25.3455384182624,25.9544641328914,26.4790118406785,26.9310239962491,27.3118677924302,27.6786874760399,28.0919724300325,28.6202523650209,29.1572672649245,29.8212999275893,30.6138169704244,31.4795196912651,32.3136135253471,33.1772419888147,33.9825011061868,34.8455804866868,34.9811761263615
eng,28.6309751345462,27.0732758647512,25.8998305416741,24.8903017651138,23.9867377007051,23.1115036016989,22.3152014147016,21.6430900633703,20.9486090123534,20.3341110676988,19.7242802402816,19.1872441103583,18.7167191186568,18.2889011436044,17.9441302048606,17.6772441143998,17.4303236111799,17.2416270738843,17.1709071479987,17.1719662335819,17.1976859328045,17.2832933053963,17.2421240328359,17.0565676949216,16.90387502544,16.8728190557957,16.7952053177381,16.6110708674974,16.2999515942368,15.9985432533652,15.9075635344126,16.2540220708607,14.3220805246995,13.676727483653,13.9892658323908,14.5566258535018,14.9715580443562,15.1122557550312,15.0571456335543,14.9881552605467,14.9738224058063,15.0555637087505,15.2168042851759,15.4439720054333,15.7372221872324,16.0866389279813,16.4690766870706,16.8963210227006,17.3889047505344,17.9253360773468,18.4998814569311,19.088891157961,19.7248130648269,20.3778112076022,21.0367080036589,21.7469247609383,22.5106266283045,23.2880149810101,24.1067914275101,24.9515367060942,25.7682836128518,26.7904060496155,27.6140826582714,28.3045986146968
f,29.3243431324601,27.7886606207176,26.5406434537679,25.4140298104168,24.359446265491,23.3795888417642,22.4603837697414,21.6517156851771,20.9734801002686,20.4315077495882,20.0511662113886,19.9336372023693,20.1016421922452,20.5545969622371,21.2291214449662,22.103842141921,23.1253291466201,24.3036149307959,26.5494983875133,32.1184852484811,44.6862581170523,61.8623919126097,82.0685538724895,104.094127317275,48.4247136605959,42.529962933971,38.7052589713266,34.4013279280541,33.2504287516079,28.5081686771274,27.7583030783052,26.9738177482392,26.5142363641908,26.1579206966843,25.7405700395022,25.1268565116255,23.9076720680652,22.3365608758747,20.9368488300422,20.1113231476022,20.164803178108,21.2408458847194,23.7259761054961,27.4439459890609,29.9229424184806,30.1048672881479,29.6744643416761,29.2354319337089,29.0164728925456,28.8577349525572,28.8598331162483,29.0478632867028,29.3650018356924,29.8656757523908,30.4534796081196,31.1370566775411,31.9615663556904,32.833669472548,33.7896587830849,34.8274476744649,35.8536845188683,37.0982600050051,38.5903072917046,39.2975453784127
g,31.8304548775187,29.6814896420799,28.1413736981616,26.8798131536404,25.8631788936695,24.8904312369264,24.192800463728,23.7135328065145,23.3819425187724,23.113274805633,22.9000995458973,22.9693820983216,23.1815655094625,23.4380054312033,23.5053246764432,23.4448158353581,22.821396639634,22.7714192847275,24.1303752629095,25.5586526564853,25.4150623289136,25.4741163906936,25.7675808349461,26.152683152618,26.0826851606586,26.87253267503,27.493254548286,28.1655487210682,30.2243032766555,32.0985525740834,40.7029954392784,54.3835045797924,72.0081922947749,92.0243456459676,58.7841094289443,49.8999702431963,44.9216858223548,36.7896902747659,32.6310592908443,30.7804181153037,28.645669465099,27.4745651129632,26.5932821569312,25.7898299790164,25.5893580860217,25.7959483106752,27.5177609897116,27.949209873824,25.1783321744407,23.4673785667986,22.8665608816973,22.9929642448661,23.633857104261,24.2453487194839,24.9557615843808,25.7109241843808,26.6917650699441,27.8437067697433,29.2989538404027,30.9157830844573,32.3669752577004,33.9187184396277,35.501693325791,36.2322788021411
k,36.6556460995864,34.0175884201159,32.3262722103445,30.5685784912892,28.8166504001399,27.254641893723,25.8317584594126,24.4584604666759,23.2218173406534,22.1473315029191,21.3893691757482,20.9489395302443,20.8681705069243,21.6053956423093,22.3171861428658,25.2549197013139,29.0866140811251,39.9829609290781,49.5863301268146,44.0233641080138,38.6384605864893,38.9843589890048,31.0339246180172,27.3920942058448,27.7357875119755,24.5190760621051,24.4231642020956,24.7839616083139,26.686372758614,30.365179729147,32.0313564549903,30.9710984204668,30.3562995471696,29.5874028899098,29.4237313350188,28.5792826709178,27.7041770425106,27.0207950434156,25.9382077584137,24.6315567506074,23.5799024777484,23.5163100118583,24.5250011039725,27.303990275181,30.624428608759,29.955407247021,29.3982286796713,28.6988379784639,28.1270078981853,28.0561499019678,28.0942710747022,28.4939490571871,29.1229995019538,30.0426543822343,31.2685865445726,32.8224862530118,33.9344410226422,34.8554831643454,34.772261881481,34.082752518057,32.8655977699173,31.5852182531182,30.3297042984152,30.1226295070481
l,36.6695509363523,34.622894026227,33.2698107925744,32.0892332670985,31.020025095818,30.0819198148331,28.9742543979963,28.7988237635546,28.5047391550315,27.9085399951383,27.8760349986054,27.96156621604,27.5067898945764,26.6041878567546,25.6750161868923,24.5514418027067,23.7020317778172,23.1515564635841,22.849051652833,22.8367026236027,23.3156705650333,24.0911736428047,24.9479680872903,26.2463882403109,28.5998024953464,31.4028419035912,34.6788694482808,36.5858593280983,37.1984085709538,37.5222464408741,37.6835671750596,37.4253898404834,37.4470080739959,36.9558191005724,36.4048396379784,36.8039847705869,43.4145322898581,48.7511872007251,55.8137071757063,125.327055788142,104.859004853677,90.4843368730662,76.090008922992,57.4761138539801,47.3164720712098,38.6601425110862,32.0818530490821,28.823148082851,26.8910206973687,25.1209721575405,24.0089527338459,23.3874725158586,23.3470491064417,23.6586247208406,24.1380924450865,24.922539951238,25.5048516922769,26.1795341431233,27.3808805129836,28.7919733660575,30.5314643537359,31.9654615912815,33.7575279229276,35.5584704729348
