Gesture,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,Point45,Point46,Point47,Point48,Point49,Point50,Point51,Point52,Point53,Point54,Point55,Point56,Point57,Point58,Point59,Point60,Point61,Point62,Point63,Point64
b,34.7449862426828,33.7876654455436,33.0095991855005,32.4825653043687,32.0232397866985,31.850175849642,31.890033607994,32.005267775639,32.1653143204048,32.3271883110491,32.3303571421588,31.8382910659229,31.4765020168333,31.3007102635832,30.7277780493779,28.0102771227172,25.8334442515818,24.3086063530815,23.2292224785948,22.3966829573967,21.6100735118015,20.7946938540068,20.1347553583321,19.6015480240146,19.2330494168049,18.994041932155,18.8780702414735,18.8119776716271,19.1158190234277,19.5008068243557,19.7924713693206,19.9292197473313,20.000528921675,20.026719633127,20.8604494058067,22.1627661815078,23.6811480225149,24.9700687239462,25.5824088234193,25.9412097179439,26.1912601364347,26.2551975531921,26.2216837087192,26.2321651325129,26.2861472496937,26.4560814131406,26.7199728677485,27.1314433824013,27.6420357113437,28.357337676006,29.1432114019729,29.9974756681463,30.9259766276821,32.1011085260475,33.7134909278989,35.3075162390117,36.4029933188168,37.2119791901768,38.0676688189956,38.9201432006206,39.783940955916,40.4941142975733,41.2275854147224,41.4469856322754
ch,32.5301286459821,31.2277980778871,29.9483027572028,28.6886540819101,27.441346309429,25.8512883923046,24.5399378071291,23.1801826704717,22.1568260203011,21.0099447953759,20.2402293778331,19.3191904658072,18.5160062409752,17.8174586389404,17.0935713488726,16.3662906666965,15.7324467032993,15.1333043730701,14.6335831818169,14.2835637940668,14.1152962257901,14.0765005498349,14.1728163652508,14.2474762945162,14.6253371863075,15.065949644069,15.5215013603679,16.0855739231683,16.7344005897575,17.6436179504717,18.5818516692762,19.4263660116896,19.8636794294695,19.8870717577465,19.5737837037052,19.3381328655629,19.0508778048011,18.372398734645,17.6820812178784,16.8825507957311,16.3656036194204,15.6095307175881,14.7685026275362,14.2690764064563,13.9489880401181,13.9215718654337,14.3110518823599,14.961294431882,15.8390129259221,16.9333633841298,18.2471428723595,19.658465969866,21.1432271047578,22.7446975942123,24.4374024195146,26.2110855595139,28.047264335444,29.8766448411144,31.7742554445337,33.7134777238589,35.5160183689036,37.4768269179721,39.1854391717541,40.7106204327406
d,33.020315203512,31.5628013576673,30.3381295164198,29.5298262525322,29.2661846880752,29.4464934270488,29.7564955309016,30.1015911444485,30.2192184380134,30.237510852242,26.4127418234872,24.3796152690811,23.262263649481,24.219491984888,25.513785210183,26.2458973331312,26.3676851202349,26.5019773885844,26.8852343341194,27.3037774053544,28.1091730293535,29.1933466579811,30.4779080529279,31.8974261939901,34.1041853287444,36.230344212423,34.8214499074457,34.1264481333327,33.9524949877979,34.2993112369312,34.7045797863565,35.2324823703041,35.5676725912723,35.6537983650331,35.6178090557858,35.5321674924714,35.4022301108399,35.1839563818013,35.0303274550041,34.8807986188276,34.9565822041315,34.8041356301345,34.6695786353315,34.4420059239788,36.477447729271,38.1197677423697,41.4273148053374,54.0843180246839,80.8937312880285,66.565838852953,46.543824573664,41.3961494948522,38.8101302281288,36.8917539903656,34.6372567018402,33.3269924914564,34.6848098986088,36.8501923523718,39.3732680695067,41.8574531748881,44.2928384499572,46.645587984478,49.0460355499617,52.7314914475683
e,48.3778997914055,44.099001834822,40.2532367048661,36.3642108447692,32.6482678498771,29.3097367759218,26.2391192614299,23.5692958808376,21.5045145597568,20.3349374528648,20.2477584407643,21.3658330121552,23.431250695916,26.3697561362042,29.8555918179259,33.6654986476677,37.5135345821699,41.7680432221135,45.9361410113725,50.2570526490172,54.9206220953109,59.4125476450157,61.408876026128,64.9090600095512,69.1159781714054,64.0247185932584,51.5681096910512,48.1895611862647,44.6979880456322,42.1153991330362,40.7732368313462,38.3509218826942,36.5317672801312,35.391252784493,35.4872270668526,36.2735502182392,37.3162332796569,38.024266895814,38.478568426167,39.0800659771635,39.7680330553262,40.7158583654986,41.5990374523604,43.1355335793018,45.0049771088485,46.5811038983357,48.0566931539231,48.4585575016436,49.7769005812944,51.6848598140193,53.0404806697661,54.6313488091894,55.4530420108889,56.1354481876728,56.6922310259228,56.9155643160594,57.1953161310694,57.1777497151883,57.242817566858,57.3162850160842,57.4614727895275,57.5043303481324,57.1446024048114,57.4950058597295
en,37.5979925916355,36.087460161132,34.6677379897366,33.4652342880663,32.4048285044737,31.4981766300213,30.8444307583044,30.4185256406874,30.2609766759171,30.2683021423825,30.4566602952295,30.8169597013598,31.1723925683816,31.4135224043666,31.411847818896,30.5803648479013,28.8475736291594,25.3416481342996,22.4633921822003,20.7061058757527,19.398624970341,18.6841510189409,18.2375811538731,17.5713198256462,16.9066444580213,16.4039515768047,15.8780793537308,15.605112441071,15.5607553785106,15.7520657389459,16.1710168957675,16.7326908156227,17.5786485710236,18.66806352163,19.8568426449329,21.1688309900291,22.7101644462958,23.7274950057517,24.0514459901672,23.6945964653162,23.8725365253269,24.3336646338718,24.8874073682052,24.5422230186631,24.8576129514057,25.3319077120142,25.8601804280597,26.4956321848389,26.9613272163336,27.3489461011049,27.9257935067313,28.7759899484312,29.7329043091555,30.8248632852352,32.1368228794232,33.2159385951359,34.2370769554529,34.9286014313236,35.7428768354827,36.7520782197739,37.7005421641918,38.6645218415885,39.8486548166225,41.0560068673291
eng,40.4930935558595,38.2579261747464,36.0484770346747,33.8351814065746,31.763154391164,29.5491139489187,27.6124970380922,26.0630113580201,24.4007592437329,22.6349503604283,21.2492560690552,19.8447607722111,18.730342917835,17.5925678747682,16.6192159870724,15.85353999235,15.2773792238791,15.0039425108294,14.9218568774008,15.1261925403347,15.4919272432868,15.9109557726114,16.5283268144955,17.281776872662,18.1872689557396,19.3623322462928,20.6482412159532,22.1187346875262,23.2717305677104,24.0712260522879,24.4321308988983,24.6308206985187,24.7825338564303,24.6816545490835,23.6417352542735,22.4563468079645,20.9579909096401,20.0232354209817,19.7422945743336,18.9089179923162,18.3569763863632,17.8323535593205,17.4410558535937,17.2065256685143,17.0910496770231,17.2127932279222,17.3677378342858,17.6701241333581,18.1633204961691,18.8154954992909,19.7117588774949,20.6058516839867,21.5407165054676,22.4798806911356,23.6404327655867,24.8722335096537,26.1610847844949,27.5275810571435,28.9071304498781,30.3135519290615,31.7783367578092,33.3110061092882,34.9358171960827,36.8206454372532
f,66.6760304295248,62.3592079581011,58.1106739249953,53.9839600048522,49.9779911733451,46.1193803624071,42.3764802881086,38.760285778087,35.3456439647602,32.1467755885766,29.0603239566528,26.250435945114,24.3748659511102,24.0418353545901,25.5743173546603,27.7906392054385,30.4546438774344,33.6095039414092,37.0179050538587,40.5855623625858,44.239078159024,47.9542085362153,51.4297409086481,54.9118702869338,57.9769361114155,60.5650344067425,67.1871212995515,97.7977480918832,89.042841004281,67.7296646281127,51.4132842151583,49.0051095314254,48.0269073201768,47.414766101,41.8571168839124,41.0359217917434,37.6819761322235,35.1858779789763,33.6221285246054,34.3297533854323,34.5669009389306,34.0888737836024,33.2935785021097,32.0091195149152,30.9489269342604,30.219549178204,29.7301202545069,29.5494774649367,29.7736593782108,30.2212198712464,30.4502282950806,31.0549535875958,31.9077268893616,32.6811633444558,33.9405873764956,35.3646818247704,37.0510179819112,38.7042232134907,40.4217174849757,42.3077700858946,44.2818839272183,46.2693313503525,48.4443075631136,50.7002671975866
g,37.9321094567774,36.0168212632772,34.2886847550136,32.8014817932756,31.6853434366704,30.5112823180882,29.5021711041479,28.7728770519269,28.1776076115059,27.739893422119,27.6687453892406,27.8735579202556,28.5666616746569,29.4496251207608,30.6410932834976,31.7218437785794,32.3533977537221,33.225613655695,32.9721857254659,30.9027741970123,28.4667454950386,25.7244498455347,23.4515839477255,21.7826437288671,20.5652154333247,19.8809427955948,19.9442285451045,20.6446102943464,21.914909308544,24.5925147933989,28.7154522776688,33.5281745411418,38.4007830603145,46.3715731154622,58.7039180696728,81.5364187418158,102.757279146941,55.8765262830869,40.3790280296744,35.2351843479784,32.0620544625761,30.3278719638447,28.7166588905698,27.1326938968973,25.8959301538607,24.787197848776,24.0248041462007,21.3878421493918,18.5673108366814,17.4333070440029,17.6088037016189,18.6496331060233,20.5386269995184,23.017743331481,26.1869189918157,29.8941486697241,33.9259119928611,38.5782321902111,43.0521571113994,47.5437001465475,52.7208419373818,58.3720756457725,63.9946896723919,69.2395491156803
k,50.2899097650215,46.895078570562,43.6267120901352,40.5462524019691,37.7158838041449,35.1516558474748,32.9473159613042,31.2174898244563,29.9772663588576,29.4907065833174,29.7535464159938,30.6141898450796,31.8939317589101,33.4966328519077,35.0293314277226,36.1336341594349,37.3658212104537,38.7136888770924,38.8063016651297,40.6684198828346,42.797313540788,46.6680176970472,50.4675756704624,59.8348950336948,66.7092851019432,82.9608761589429,99.925795822593,46.9412182834283,45.9472274052218,43.3081239455065,42.1604750438996,39.9414863304696,38.7102152138553,38.1102215559292,39.890329810133,43.0580407815125,42.4155320682007,41.92385787566,41.1548466698637,40.8330617026065,40.8824445687698,41.0209450482931,40.9209050188698,40.42630619379,40.9766758408858,41.1044967817255,43.8924487775399,46.1062278033683,49.2750588809795,49.9629606584408,50.7847293089856,53.4035102847519,54.6304012413892,56.1830675392349,57.5766727826524,58.6529473019773,59.9642174129312,61.5053215874218,62.7377811605148,63.7245025024345,64.4486747280147,65.5513548577196,66.6806268127079,68.0458587969845
l,36.84721808562,34.3028255558541,32.1575352854413,30.4973214160972,29.1154482358791,28.3330319613229,27.7398221318833,27.2267213073349,29.8404010736211,33.3175376778798,34.0935644186247,33.4204100835239,33.0626617190016,32.049210587556,30.9774813899002,29.8806436914117,28.9935996498666,28.0149377594758,27.5899187681449,27.5945661485524,28.0083422559698,29.5247062345933,31.3424223961853,32.2502545926594,32.6215870710448,33.4560718697316,34.3503838859261,35.4471406983117,36.1418030202522,36.0686651916165,36.0817749024291,36.2713820064056,35.6155193530106,35.3993130962134,35.1433402791866,34.8936699730803,34.4402764297115,33.8868149709564,33.4406413512396,33.3329875044056,33.2965809070704,39.3594172376594,44.9449329046438,64.6520382039674,83.4500796001261,98.2917275005485,72.0648762345663,60.0099572887505,47.1312547701969,37.4909767504936,32.9111990797112,27.507019372677,25.8571441963309,26.7238962533422,27.5147115529275,29.3820263679825,31.643364536626,33.9682621729612,36.118129555286,38.5761158122204,41.1024681300921,45.0627305959369,47.7044247326885,50.336692998579
